SCHOOLID,ST04Q01,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,ST93Q01,ST93Q03,ST93Q04,ST93Q06,ST93Q07,maths,read,scie
1,Female,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Very much like me,Very much like me,Somewhat like me,Mostly like me,Somewhat like me,437.30333999999993,446.48567999999995,490.89892
1,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Somewhat like me,Not much like me,Somewhat like me,392.59232000000003,389.80726000000004,400.63409999999993
1,Female,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,,,,,,645.9028000000001,630.36846,656.4155000000001
1,Male,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Not much like me,Not much like me,Mostly like me,Very much like me,Mostly like me,619.88626,615.7151600000001,654.45728
1,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,,,,,,381.92086,403.91064,424.97202000000004
1,Female,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Very much like me,Mostly like me,Not much like me,Not much like me,Not much like me,488.40162,524.72522,562.98022
1,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,471.2649799999999,473.57164,511.50692
1,Male,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,,,,,,547.75664,499.03216000000003,602.61098
1,Male,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,,,,,,498.13832,480.74781999999993,526.9861800000001
1,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Somewhat like me,Very much like me,Not much like me,Not at all like me,355.5928,404.5461,372.00669999999997
1,Female,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,,,,,,447.81895999999995,496.60663999999997,502.46176
1,Female,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Not much like me,Not much like me,Somewhat like me,Mostly like me,Somewhat like me,598.85496,593.90962,599.0675
1,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Mostly like me,Somewhat like me,Mostly like me,Not much like me,615.9137000000001,651.9737,665.8336400000001
1,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Very much like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,381.76506,443.30842,469.54492
1,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Not much like me,Mostly like me,Not much like me,598.2318,563.74916,644.19992
1,Female,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Somewhat like me,Very much like me,Not much like me,Not much like me,Not much like me,513.3276,497.4009199999999,548.61992
1,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,425.77504,455.54082,457.9821
1,Male,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not much like me,363.38216,353.39896,444.55426
