SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,ave,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie,schoolave
1,8.7358,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,437.30333999999993,446.48567999999995,490.89892,458.22931333333327,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,645.9028000000001,630.36846,656.4155000000001,644.22892,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,11.2771,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,619.88626,615.7151600000001,654.45728,630.0195666666667,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,381.92086,403.91064,424.97202000000004,403.6011733333333,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,488.40162,524.72522,562.98022,525.36902,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,11.2771,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,547.75664,499.03216000000003,602.61098,549.7999266666667,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,11.2771,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,498.13832,480.74781999999993,526.9861800000001,501.95743999999996,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,447.81895999999995,496.60663999999997,502.46176,482.29578666666663,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,598.85496,593.90962,599.0675,597.27736,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
1,8.7358,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,381.76506,443.30842,469.54492,431.53946666666667,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
