SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000001,1191.0,0.519,1.0,1.0,132.333,1.44,487.22091368421053,496.3734515789473,530.1615610526317
0000002,608.0,0.259,1.0,1.0,152.0,0.03,407.6582541666667,423.3452533333333,434.89136916666666
0000003,963.0,,0.94,0.925,137.571,0.03,434.1998673684211,504.8035115789474,478.45756210526315
0000004,1459.0,1.293,1.0,1.0,153.579,1.44,560.6932535999999,575.5229287999999,592.290188
0000005,1018.0,1.236,1.0,1.0,145.429,1.44,427.54562999999996,432.127543076923,440.3867653846154
0000006,1260.0,1.344,1.0,1.0,157.5,0.03,485.0781518518518,511.1129259259259,537.7788844444445
0000007,989.0,1.468,1.0,1.0,,1.44,475.0952179310344,473.21339034482753,488.92461655172417
0000008,1704.0,0.351,1.0,0.995,154.909,1.44,500.07945520000004,508.2129312,523.5248032
0000009,916.0,1.772,1.0,1.0,114.5,1.44,416.02634230769235,445.74649307692306,457.7525584615385
0000010,1128.0,0.6,,,132.706,1.44,560.7735703703704,598.9875437037037,590.1777940740741
0000011,788.0,2.327,1.0,1.0,131.333,1.44,472.7622866666667,487.3898585185185,507.5800918518518
0000012,1800.0,0.364,1.0,1.0,171.429,-0.43,605.0604983333333,623.9264475,654.9313016666667
0000013,741.0,0.984,0.971,0.971,164.667,1.44,507.28250428571425,506.3220671428571,540.1242907142857
0000014,1290.0,0.725,1.0,0.915,161.25,1.44,441.1336600000001,439.74626347826086,468.462447826087
0000015,588.0,,1.0,0.986,130.667,1.44,510.03810692307695,525.7729184615384,537.501793076923
0000016,901.0,0.357,1.0,1.0,128.714,1.44,517.6781333333332,513.1434318518519,537.5509422222223
0000017,541.0,,,,108.2,0.87,422.0641847999999,400.49274640000004,399.9179416
0000018,1496.0,1.732,1.0,1.0,187.0,1.44,448.3394463636363,450.42116,448.70384454545444
0000019,841.0,0.575,1.0,0.99,129.385,1.44,482.30254,508.015505,507.33867900000007
0000020,1260.0,2.0,1.0,1.0,140.0,1.44,450.0551791666667,469.6755683333334,458.4871908333333
0000021,346.0,0.4,,,86.5,1.44,444.69348916666667,472.45612416666665,492.3598175000001
0000022,,0.929,,,,-0.62,490.36519166666665,498.700635,544.2022566666668
0000023,354.0,0.407,1.0,1.0,118.0,0.03,376.38331727272725,345.2008672727273,372.0999609090909
0000024,659.0,1.152,1.0,1.0,109.833,1.44,431.86229851851857,459.8315318518518,478.26197851851856
0000025,725.0,0.884,0.98,0.97,120.833,-0.62,473.97357272727277,474.2189890909091,507.8913863636364
0000026,776.0,0.388,1.0,1.0,129.333,1.44,385.12911249999996,418.4014325,394.30483375000006
0000027,846.0,0.499,1.0,0.984,105.75,-0.25,490.56921103448275,485.06016482758616,526.0569220689655
0000028,1075.0,1.914,1.0,1.0,107.5,-0.67,474.8481071428572,497.5571807142857,490.3360935714286
0000029,1293.0,0.835,0.977,0.977,112.435,0.03,412.64148000000006,435.59794347826085,433.08872434782614
0000030,648.0,1.067,1.0,1.0,81.0,0.03,389.0295113043478,368.0515443478261,408.6372747826087
0000031,925.0,0.8,1.0,0.959,123.333,-0.43,497.8447376923076,502.85248846153854,506.16661000000005
0000032,712.0,0.837,,,109.538,1.44,507.7971632,508.62664000000007,520.5296503999999
0000033,778.0,1.478,1.0,1.0,111.143,1.44,423.4036118518519,469.2265555555556,442.2196
0000034,1457.0,0.861,1.0,1.0,171.412,1.44,399.96300125,424.09072375000005,447.90540124999995
0000035,1343.0,1.0,1.0,1.0,134.3,1.44,506.0205915384616,481.3723476923078,518.0271423076923
0000036,819.0,0.351,1.0,1.0,96.353,1.44,454.88861280000003,440.89829840000004,463.80827759999994
