SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,SC25Q05,SC34Q15,SC27Q02,SC16Q05,SC39Q07,maths,read,scie,ST88Q01math,ST88Q01read,ST88Q01scie,ST88Q02math,ST88Q02read,ST88Q02scie,ST88Q03math,ST88Q03read,ST88Q03scie,ST88Q04math,ST88Q04read,ST88Q04scie,ST89Q02math,ST89Q02read,ST89Q02scie,ST89Q03math,ST89Q03read,ST89Q03scie,ST89Q04math,ST89Q04read,ST89Q04scie,ST89Q05math,ST89Q05read,ST89Q05scie,option
0000001,1191.0,0.519,1.0,1.0,132.333,1.44,0.0,3.0,3.0,1.0,1.0,488.57637302866,495.3106709462114,531.458284151257,471.5833370498029,465.79210630473347,511.23378599873087,363.38216,353.39896,444.55426,498.13832,480.74782000000005,526.9861800000001,513.3276,497.40092000000004,548.61992,554.1282048688462,547.5728312238118,591.9957646001037,511.2952757846947,504.47676542043126,555.0649163820317,547.4317898549066,541.2697302807052,583.0031916278543,547.4317898549066,541.2697302807052,583.0031916278543,Strongly Agree
0000001,1191.0,0.519,1.0,1.0,132.333,1.44,0.0,3.0,3.0,1.0,1.0,488.57637302866,495.3106709462114,531.458284151257,431.78346584321514,438.6583124902293,491.84249278432424,493.88816815494,499.9443267991146,542.6978826833692,493.27605992862283,497.3127250838705,540.8840170684588,481.87116009696786,483.4045697874735,527.9716101904135,435.6834763681836,447.9819902740298,491.57896013489307,439.38048,475.08083333333326,496.8046666666666,423.5595004458426,438.70150885044785,485.8036320845091,401.1226850689752,426.05200157505095,473.41398540127256,Agree
0000001,1191.0,0.519,1.0,1.0,132.333,1.44,0.0,3.0,3.0,1.0,1.0,488.57637302866,495.3106709462114,531.458284151257,544.1752265200514,547.4521532240414,584.9827787237335,462.87406596067103,488.6009736899156,516.4938675232312,500.8646099999999,511.06307,555.80007,488.40162,524.72522,562.98022,0,0,0,0,0,0,0,0,0,498.13832,480.74782000000005,526.9861800000001,Disagree
0000001,1191.0,0.519,1.0,1.0,132.333,1.44,0.0,3.0,3.0,1.0,1.0,488.57637302866,495.3106709462114,531.458284151257,0,0,0,574.5144924657391,551.3713396133336,601.7416951298271,0,0,0,437.30333999999993,446.48567999999995,490.89892,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000002,608.0,0.259,1.0,1.0,152.0,0.03,0.0,4.0,3.0,1.0,2.0,408.03357284628356,423.77456998349925,435.4311363889042,290.70727999999997,286.19594,324.91612,290.70727999999997,286.19594,324.91612,428.7686238108198,450.01033460846554,442.1925001699521,403.00026967844525,419.41145624686925,425.3521877475199,435.6274741228767,452.93307655447626,457.8363315618352,426.8456422294456,445.18923603411787,451.0609014010639,429.611049382596,448.93987859202326,457.57390931229446,412.7326611764635,426.75251739656704,438.0705294123183,Strongly Agree
0000002,608.0,0.259,1.0,1.0,152.0,0.03,0.0,4.0,3.0,1.0,2.0,408.03357284628356,423.77456998349925,435.4311363889042,365.71896,338.48276,383.01007999999996,0,0,0,402.30624926940027,414.94777655076876,431.4881913207366,435.72158439750217,445.9307444868059,452.37623967555226,384.1797771428572,394.9511485714286,402.60564,383.104844,388.95718,395.56136,385.73765000000003,392.01259000000005,393.84247999999997,414.44928799999997,429.904496,424.41252799999995,Agree
0000002,608.0,0.259,1.0,1.0,152.0,0.03,0.0,4.0,3.0,1.0,2.0,408.03357284628356,423.77456998349925,435.4311363889042,448.4434796262218,466.98939153364626,473.00683404561926,400.97886000000005,411.01869,412.44560999999993,365.71896,338.48276,383.01007999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree
0000002,608.0,0.259,1.0,1.0,152.0,0.03,0.0,4.0,3.0,1.0,2.0,408.03357284628356,423.77456998349925,435.4311363889042,401.8616628571429,420.85397142857147,416.88602000000003,434.8232853553319,454.28949544434647,459.8846625175962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000003,963.0,,0.94,0.925,137.571,0.03,0.0,3.0,3.0,2.0,1.0,435.01167058498856,506.05644332918445,479.0374013289381,385.73765999999995,447.91542,405.85604,0,0,0,385.73765999999995,447.91542,405.85604,403.55174684985843,462.78963349313847,444.61794523572223,391.95049189103713,467.6205409096031,427.79164165327273,401.1524108220569,465.44285381490744,441.56659964290463,403.070759737138,470.4607752553908,445.2332667611457,403.91286222222226,473.8275866666668,445.0205155555556,Strongly Agree
0000003,963.0,,0.94,0.925,137.571,0.03,0.0,3.0,3.0,2.0,1.0,435.01167058498856,506.05644332918445,479.0374013289381,407.6907100000001,467.85261333333335,446.2949100000001,390.48915999999997,428.3754,452.20065999999997,404.14486752151043,473.28502791549397,446.4022112396433,396.90242333333333,463.49714000000006,438.4930966666667,398.531705,459.73078999999996,448.56395999999995,401.21255333333335,470.1825866666667,447.35172666666665,403.34164,454.66705999999994,436.72136,387.2564153024423,430.93707356314655,433.83091500863554,Agree
0000003,963.0,,0.94,0.925,137.571,0.03,0.0,3.0,3.0,2.0,1.0,435.01167058498856,506.05644332918445,479.0374013289381,394.8913754992611,470.02262979281795,448.1088263334027,405.09425,490.80818,448.68052500000005,390.48915999999997,428.3754,452.20065999999997,410.66366,482.07077,455.23125,464.95558,489.93444,510.48117999999994,0,0,0,382.31034,446.40622,431.59268000000003,0,0,0,Disagree
